Technology,Zip_Code,Count,Income,Pop
BEV,77531,2,62892,16228
PHEV,77531,2,62892,16228
BEV,77532,7,67824,29963
PHEV,77532,6,67824,29963
PHEV,77533,1,44563,938
PHEV,77534,1,95890,2256
BEV,77535,9,54638,34537
PHEV,77535,3,54638,34537
BEV,77536,10,81960,32146
PHEV,77536,2,81960,32146
BEV,77539,18,75664,46032
PHEV,77539,11,75664,46032
BEV,77541,5,46039,18609
PHEV,77541,1,46039,18609
BEV,77545,9,80873,25226
PHEV,77545,7,80873,25226
BEV,77546,70,106287,53623
PHEV,77546,20,106287,53623
BEV,77547,1,46176,9925
BEV,77550,7,42710,21863
PHEV,77550,10,42710,21863
BEV,77551,6,49789,21929
PHEV,77551,4,49789,21929
BEV,77554,22,75283,8556
PHEV,77554,1,75283,8556
PHEV,77560,1,97554,337
BEV,77562,3,59792,10680
PHEV,77562,1,59792,10680
BEV,77563,2,68028,11027
PHEV,77563,2,68028,11027
BEV,77565,12,66282,8650
PHEV,77565,7,66282,8650
BEV,77566,15,83782,29436
PHEV,77566,6,83782,29436
BEV,77568,6,52441,15680
PHEV,77568,2,52441,15680
BEV,77571,12,76864,37427
PHEV,77571,3,76864,37427
BEV,77573,93,111609,88131
PHEV,77573,28,111609,88131
BEV,77575,5,56172,16884
PHEV,77575,2,56172,16884
BEV,77577,1,73889,1481
BEV,77578,39,92487,22527
PHEV,77578,12,92487,22527
PHEV,77580,1,139414,1099
BEV,77581,56,92687,48438
PHEV,77581,10,92687,48438
BEV,77583,49,78808,40514
PHEV,77583,18,78808,40514
BEV,77584,148,107995,90372
PHEV,77584,49,107995,90372
BEV,77586,33,97181,22548
PHEV,77586,12,97181,22548
BEV,77587,2,45241,16928
PHEV,77587,4,45241,16928
BEV,77590,4,46992,31604
PHEV,77590,4,46992,31604
BEV,77591,5,51659,14936
PHEV,77591,2,51659,14936
BEV,77598,10,56809,26460
PHEV,77598,5,56809,26460
BEV,77611,1,78449,8578
PHEV,77611,4,78449,8578
PHEV,77612,1,54876,9408
PHEV,77613,1,47375,1097
BEV,77619,3,55652,15662
PHEV,77619,5,55652,15662
BEV,77622,1,88875,1439
PHEV,77622,2,88875,1439
PHEV,77625,1,62925,9761
BEV,77627,8,78367,21698
PHEV,77627,2,78367,21698
BEV,77630,7,51017,28925
PHEV,77630,4,51017,28925
BEV,77632,3,70518,22903
PHEV,77632,4,70518,22903
BEV,77640,2,38324,15706
BEV,77642,2,35746,39202
PHEV,77642,1,35746,39202
BEV,77650,2,NA,1835
PHEV,77650,2,NA,1835
BEV,77651,4,71740,12782
PHEV,77651,4,71740,12782
PHEV,77656,1,52702,16524
BEV,77657,2,71319,21345
PHEV,77657,1,71319,21345
BEV,77659,3,68750,5326
PHEV,77659,1,68750,5326
BEV,77662,3,56345,26277
PHEV,77662,3,56345,26277
BEV,77663,1,NA,1014
PHEV,77665,1,51989,6152
BEV,77701,4,36857,13480
PHEV,77701,2,36857,13480
BEV,77703,1,28906,13823
PHEV,77703,2,28906,13823
BEV,77705,6,41844,39236
PHEV,77705,1,41844,39236
BEV,77706,26,68750,29474
PHEV,77706,16,68750,29474
BEV,77707,3,56655,18335
PHEV,77708,2,48846,12536
BEV,77713,9,69723,14238
PHEV,77713,2,69723,14238
